Question Id,Response 1,Response 2,Response 3,Response 4,Response 5,Response 6
10,very little,average amount,a lot,Empty,Empty,Empty
13,at the end,1-3 months,1-3 weeks,Empty,Empty,Empty
14,very little to no time,one meeting every iteration,interacting in the majority of the phases,Empty,Empty,Empty
17,Quality,Fast,Empty,Empty,Empty,Empty
19,Less than a Year,More than a Year,Empty,Empty,Empty,Empty
21,Every Day,Every Week,Every 1-3 weeks,Empty,Empty,Empty
22,Every Day,Every week,Every 1-3 weeks,Empty,Empty,Empty
26,very,average amount,not secure,Empty,Empty,Empty
28,very,average,not secure,Empty,Empty,Empty
31,very ,average,little,Empty,Empty,Empty
32,very ,average,little,Empty,Empty,Empty
33,often,average amount,very little,Empty,Empty,Empty
34,like it,love it,gotta have it,Empty,Empty,Empty
36,Same area,spread out across country,both,Empty,Empty,Empty
37,low,low - Medium,Medium,Medium-High,High,Empty
38,low,medium,High,Empty,Empty,Empty
44,low,medium,High,Empty,Empty,Empty
46,One,A Few (2-3),Many (4 or Higher),Empty,Empty,Empty
51,None,Good Amount,A lot,Empty,Empty,Empty
55,Low,Medium,High,Empty,Empty,Empty
61,Updated Often,Old and Completed,Empty,Empty,Empty,Empty
65,Low Budget,Medium Budget,High Budget,Empty,Empty,Empty
66,Low Budget,Medium Budget,High Budget,Empty,Empty,Empty
67,Low Budget,Medium Budget,High Budget,Empty,Empty,Empty
68,Low Budget,Medium Budget,High Budget,Empty,Empty,Empty
72,Small,Small - Medium,Medium,Medium - High,High,Empty
75,Non- Flexable,Flexable,Empty,Empty,Empty,Empty
